@relation youtube1

@attribute Column1 {7VvBnz1Ngi4,6L78MVrd14c,bOcugYjrvLg,mr8KrF8vNPM,l92jFP4hvUw,75UqLnGK4RI,u2-od4n5Xl0,VWCjVcH1ojs,tG6CujNS6J0,0Y-hZJ7jAQ4,MC3mJdfWK70,FRnBjxVveN4,QL5L-ksQjoU,XXlthnpE-1o,FMhrCoyeRVI,hI6D4bynjW4,Uy5V1PDbyoo,x5F0A2B8fmU,ggjT5_JE-DE,HX9sqE9zBDc,SrB6BCwlTMM,fPmWfHy97OU,LJaGUmjlGuc,t4KvXsglvMg,LK379T5gQSA,C8IJnUM0yQo,09CsVd1ywNI,W9y6nwBwwyQ,NyJp85CQVt8,tPYAeeyW-yA,6hIs3xFvalI,7zCIRPQ8qWc,LzjgKnF7g68,eETSzdxAzvM,GgK_-ruvULY,8RMhTQjs3Y0,6utE5APd4wA,FgIUryRxGM4,BXoqlrH-kdo,nzkP6rBd9QY,Z2cpqRpiTqk,XIPhUZZBtsc,LLaKkC5U9Po,a3HMLgJmy2A,gkJntWkzy_A,wDx28Y2RcCI,3JNU46RBxag,0MD6Cx0qzRA,5hgpAdPDLtc,Z_hwMtG2xCs,oqo_5I4_ZOU,zt57ioIr6v8,gOXpP32LO-E,TlqKhcc4YeE,iPXfCSv-08Y,HRaEcDT3uqw,HPNY8gqcjAA,X1hz0RKKzpQ,nnRDMB-ql5o,6uk2o_bwfxo,ar0G-EcJDnw,13ZaH7jTlw0,8YfusEtOTy4,f9KtIJIcPDM,wsLU5uYJpDA,Ysqh1uzqGrc,tsKAxsb7EQs,XtpoOdcYCYU,psO6_rNKP6g,1pnhndCleT0,Jkcg_WzT0DU,koP1y1FJiXI,WPPjZrGHRp4,GmCjecDvOm4,Jb2xHGDfCjY,zF6wX4rqhRQ,Z5gO9UgePrw,Velzwi-TUno,oPDM1BjwZg8,peZFfMJEa1E,FmteCVEdBMI,3t_HUglUPLw,uSqFFf-dIok,ehbj7lq7smg,XBqpdx4Dt04,BetOZBhTEEM,Cou1fP4PoGs,W6SneSxQkRQ,469zNXTCHdk,6nYCKz1DgKI,uvOandCCRFg,29G51H9QpG8,1_pwQT-q5eU,2Tuitu1zzA4,35mNB234cx4,1qUdvvTwIg0,QGkLpeCYR38,n3jOhIFbuKE,NbwpgyRUv5g,T0NKacrpjfY,fyaRvPimzx4,fSK31ZOgITM,6jDCE-XEcOw,2xx_VyPEUsU,ovDr3rAhzAk,L2gqrP01PgM,duiKAT-33Ss,X3oJPY3Hcgg,#NAME?,YvEibGgp-GA,5tg1mVGkNdk,YQ4esb3PXY0,V3_XB7QIfns,3oCejFPPTbI,ktJvbmxYoaI,pzH53LbshmY,gyNulFf_L0s,HwxnL2GSYaY,V9zCavnzNEA,5-0rd9i5wsk,o9RiLC5cYAg,E5vZhid4pvU,pHRz92EBZOI,0tioS68vyu0,i11KfdN9FiI,dcy0eWZsPN4,4vk0XOuDJ2s,4AN1mntIDwk,Lse-s6Sh4V4,o1xbop6F0Dc,b_QnFoapqQA,Qo7qoonzTCE,Am4-xrQWF0A,JLlKQcNNwqA,1Y-Au-tnBLs,J826yL1Sac8,6oZYnHRUIuc,0_G4gQbZSdU,mwx8E06CQw4,cYIN-b8qjmo,_wNSp6uhs18,auVqZ8vrM34,8k_yItfQu7Q,1lM5TbyzJCM,vBm-JodoRbs,oeW3RU5oOuc,PJ8Xlvkvo2w,6VWYvF-ZRYY,d2gYPsRKkNY,wCQtR-8ORJY,nRsaExGcx5A,hcqHtfASdxc,hSSYTGU5EGY,eRQe-BT9g_U,fnXdJGXnPvw,nlF3WxfeoSM,K8_VaSvlB5w,8M_U_5BLVPc,9-QFikKufIg,B-yUKS3O66A,lNm9c4DNHW8,mBI-xFirM-Y,sv4Hpz-GI3g,Vklg4ibRBoU,hXEYxdAwt-0,CNeU4bNXD5E,mlPLO-SptpQ,KBm5ZSWbD14,gGPmlf6AESg,sVcg3ETySyU,JOQJiZ_g3Ho}
@attribute Column2 {1Y-Au-tnBLs,7zCIRPQ8qWc,l92jFP4hvUw,5hgpAdPDLtc,X1hz0RKKzpQ,MC3mJdfWK70,#NAME?,6L78MVrd14c,mr8KrF8vNPM,0MD6Cx0qzRA,6nYCKz1DgKI,uvOandCCRFg,75UqLnGK4RI,d6OxBp2fEig,6utE5APd4wA,Cou1fP4PoGs,hC1ieO6mNPw,6hIs3xFvalI,OFG4isKW5mY,K2cRvoDoGBA,cmTGGpb5_Cw,Ydsuf37_Auo,XBqpdx4Dt04,CyafIfZz9jo,Ukh4_KJHU9A,QCOYocQbNdc,hI6D4bynjW4,ggjT5_JE-DE,jjUGtn3NRRc,4vk0XOuDJ2s,wDx28Y2RcCI,ar0G-EcJDnw,nlF3WxfeoSM,bOcugYjrvLg,Qo7qoonzTCE,09CsVd1ywNI,6lmaYp5DmOQ,LLaKkC5U9Po,2xx_VyPEUsU,Z_hwMtG2xCs,u2-od4n5Xl0,3t_HUglUPLw,rizNup9BWhU,afHJWvuYd3A,VtW_HD1OU1A,HRaEcDT3uqw,kIy0U9mRIOA,C8IJnUM0yQo,iPXfCSv-08Y,gkJntWkzy_A,mLQLwL_qTmc,FMhrCoyeRVI,WPPjZrGHRp4,tG6CujNS6J0,Z2cpqRpiTqk,6YUAnhM4TY4,0tioS68vyu0,XIPhUZZBtsc,Am4-xrQWF0A,NTZ1znQAO8o,XXlthnpE-1o,XKR1ScQUpcA,wsLU5uYJpDA,LjimLwAhAOQ,RXUV35Xgw-k,8RMhTQjs3Y0,W6SneSxQkRQ,WPRGV3YN31c,FgIUryRxGM4,1qUdvvTwIg0,m58Bp6PfXss,TlqKhcc4YeE,oPDM1BjwZg8,VWCjVcH1ojs,4kkXWd8BjO0,WcZqwR9tbJE,SdO3JTu24H4,Lecaw2Q8BmU,t4KvXsglvMg,OYfeqiBOhlg,xlk0cq1R5wg,j0Wd-Rd-dJE,8Ydg8Fb8H7M,mQR0aKaspxU,dgBKpVxpTCo,5GeAZZuM0G0,LMXp15LPlSw,qZ5DfWN3fWU,2MgonZ6J7_I,y5Mc6RMn0DY,E5vZhid4pvU,_wNSp6uhs18,xjKXcKfjK7c,pzH53LbshmY,ktJvbmxYoaI,r0ym9TOa22Q,lNI_7H8radY,54n-z8QWHqc,5tg1mVGkNdk,eRQe-BT9g_U,y2ojnR_PHRk,TZp_5wZOczs,GgK_-ruvULY,rOfsU9yGpAg,8A5bqoqs1X8,BetOZBhTEEM,tM_UtrUXPPc,LbwPuGPOzd0,ZcP9jiCbakw,ZoDnu0ixI-U,kFa1zgfgEig,HTkPFXddWxw,JfXrJE9LrZc,XlZssXeKCCo,efr07-fuDl4,QDd07jhGcL0,AekJnibtgV4,W9y6nwBwwyQ,iVlk11aI3GU,zF6wX4rqhRQ,UlzoL-wQwio,aOkBOHGBcrg,9-QFikKufIg,fyaRvPimzx4,YdSUEfeyVWs,kbdz6Y7yEsE,drXG1dhVrVI,uSqFFf-dIok,PJ8Xlvkvo2w,_61s62WKVio,mwx8E06CQw4,9lLKsgXFVG4,JTiPqZbM5ls,L2gqrP01PgM,V9zCavnzNEA,oGm4bd9FZ4s,FmteCVEdBMI,gPaTzJXD7sw,YfLht1WFfQw,vEMrc3j2Zts,3FbUOUD4alw,7VvBnz1Ngi4,40rKfJw4EVU,ckAt724jSwE,2latZ_-sSLk,p8AAribhbfc,lLuJNOn-3Ho,n6hpfq4dAm0,1hF2lxKlhAs,wWkkmIN4RB4}
@attribute Column3 {right,left}

@data
7VvBnz1Ngi4,1Y-Au-tnBLs,left
6L78MVrd14c,7zCIRPQ8qWc,left
bOcugYjrvLg,l92jFP4hvUw,right
mr8KrF8vNPM,5hgpAdPDLtc,left
bOcugYjrvLg,X1hz0RKKzpQ,left
l92jFP4hvUw,MC3mJdfWK70,right
75UqLnGK4RI,#NAME?,left
u2-od4n5Xl0,6L78MVrd14c,left
VWCjVcH1ojs,6L78MVrd14c,left
tG6CujNS6J0,mr8KrF8vNPM,left
bOcugYjrvLg,0MD6Cx0qzRA,left
0Y-hZJ7jAQ4,6nYCKz1DgKI,right
MC3mJdfWK70,uvOandCCRFg,left
u2-od4n5Xl0,6L78MVrd14c,right
FRnBjxVveN4,75UqLnGK4RI,right
QL5L-ksQjoU,d6OxBp2fEig,left
XXlthnpE-1o,MC3mJdfWK70,left
FMhrCoyeRVI,MC3mJdfWK70,right
hI6D4bynjW4,7zCIRPQ8qWc,left
tG6CujNS6J0,6utE5APd4wA,right
Uy5V1PDbyoo,Cou1fP4PoGs,right
x5F0A2B8fmU,hC1ieO6mNPw,left
ggjT5_JE-DE,6hIs3xFvalI,left
MC3mJdfWK70,7zCIRPQ8qWc,left
HX9sqE9zBDc,OFG4isKW5mY,left
SrB6BCwlTMM,K2cRvoDoGBA,right
fPmWfHy97OU,cmTGGpb5_Cw,right
LJaGUmjlGuc,Ydsuf37_Auo,right
t4KvXsglvMg,XBqpdx4Dt04,right
LK379T5gQSA,CyafIfZz9jo,right
C8IJnUM0yQo,Ukh4_KJHU9A,right
09CsVd1ywNI,QCOYocQbNdc,left
6L78MVrd14c,hI6D4bynjW4,right
W9y6nwBwwyQ,ggjT5_JE-DE,right
NyJp85CQVt8,jjUGtn3NRRc,left
tPYAeeyW-yA,4vk0XOuDJ2s,right
ggjT5_JE-DE,XBqpdx4Dt04,left
6hIs3xFvalI,X1hz0RKKzpQ,left
7zCIRPQ8qWc,wDx28Y2RcCI,left
ggjT5_JE-DE,ar0G-EcJDnw,right
ggjT5_JE-DE,5hgpAdPDLtc,right
LzjgKnF7g68,nlF3WxfeoSM,right
7zCIRPQ8qWc,bOcugYjrvLg,left
eETSzdxAzvM,Qo7qoonzTCE,left
C8IJnUM0yQo,bOcugYjrvLg,left
GgK_-ruvULY,09CsVd1ywNI,left
8RMhTQjs3Y0,6lmaYp5DmOQ,left
hI6D4bynjW4,LLaKkC5U9Po,left
6utE5APd4wA,MC3mJdfWK70,right
bOcugYjrvLg,MC3mJdfWK70,right
FgIUryRxGM4,LLaKkC5U9Po,right
hI6D4bynjW4,6L78MVrd14c,left
BXoqlrH-kdo,2xx_VyPEUsU,right
t4KvXsglvMg,7zCIRPQ8qWc,right
BXoqlrH-kdo,2xx_VyPEUsU,right
nzkP6rBd9QY,75UqLnGK4RI,left
Z2cpqRpiTqk,Z_hwMtG2xCs,right
6hIs3xFvalI,mr8KrF8vNPM,left
l92jFP4hvUw,Z_hwMtG2xCs,left
l92jFP4hvUw,6L78MVrd14c,left
XIPhUZZBtsc,u2-od4n5Xl0,left
mr8KrF8vNPM,5hgpAdPDLtc,right
LLaKkC5U9Po,X1hz0RKKzpQ,right
7VvBnz1Ngi4,3t_HUglUPLw,left
a3HMLgJmy2A,rizNup9BWhU,right
ggjT5_JE-DE,u2-od4n5Xl0,right
gkJntWkzy_A,afHJWvuYd3A,left
6L78MVrd14c,u2-od4n5Xl0,left
wDx28Y2RcCI,Ukh4_KJHU9A,right
3JNU46RBxag,VtW_HD1OU1A,right
VWCjVcH1ojs,uvOandCCRFg,right
ggjT5_JE-DE,bOcugYjrvLg,left
FgIUryRxGM4,HRaEcDT3uqw,left
0MD6Cx0qzRA,mr8KrF8vNPM,right
5hgpAdPDLtc,MC3mJdfWK70,right
09CsVd1ywNI,kIy0U9mRIOA,right
Z_hwMtG2xCs,mr8KrF8vNPM,left
oqo_5I4_ZOU,2xx_VyPEUsU,right
6utE5APd4wA,6hIs3xFvalI,right
zt57ioIr6v8,2xx_VyPEUsU,right
gOXpP32LO-E,2xx_VyPEUsU,right
6hIs3xFvalI,mr8KrF8vNPM,left
t4KvXsglvMg,6hIs3xFvalI,left
0MD6Cx0qzRA,C8IJnUM0yQo,left
6L78MVrd14c,mr8KrF8vNPM,right
x5F0A2B8fmU,iPXfCSv-08Y,right
ggjT5_JE-DE,6utE5APd4wA,left
hI6D4bynjW4,u2-od4n5Xl0,left
tG6CujNS6J0,6utE5APd4wA,left
TlqKhcc4YeE,gkJntWkzy_A,left
hI6D4bynjW4,u2-od4n5Xl0,left
iPXfCSv-08Y,mLQLwL_qTmc,left
t4KvXsglvMg,FMhrCoyeRVI,left
u2-od4n5Xl0,WPPjZrGHRp4,right
mr8KrF8vNPM,tG6CujNS6J0,left
Z_hwMtG2xCs,LLaKkC5U9Po,right
HRaEcDT3uqw,hI6D4bynjW4,left
HPNY8gqcjAA,nlF3WxfeoSM,right
MC3mJdfWK70,7zCIRPQ8qWc,left
Z_hwMtG2xCs,Z2cpqRpiTqk,right
Z_hwMtG2xCs,7zCIRPQ8qWc,right
MC3mJdfWK70,l92jFP4hvUw,left
X1hz0RKKzpQ,hI6D4bynjW4,left
nnRDMB-ql5o,6YUAnhM4TY4,right
6uk2o_bwfxo,0tioS68vyu0,right
ar0G-EcJDnw,mr8KrF8vNPM,right
6hIs3xFvalI,XIPhUZZBtsc,right
6hIs3xFvalI,MC3mJdfWK70,right
13ZaH7jTlw0,Am4-xrQWF0A,right
8YfusEtOTy4,2xx_VyPEUsU,right
6L78MVrd14c,u2-od4n5Xl0,left
wDx28Y2RcCI,XIPhUZZBtsc,right
wDx28Y2RcCI,X1hz0RKKzpQ,right
f9KtIJIcPDM,NTZ1znQAO8o,right
VWCjVcH1ojs,XIPhUZZBtsc,left
mr8KrF8vNPM,XXlthnpE-1o,right
wsLU5uYJpDA,XKR1ScQUpcA,right
6utE5APd4wA,7zCIRPQ8qWc,right
Ysqh1uzqGrc,wsLU5uYJpDA,left
tsKAxsb7EQs,LjimLwAhAOQ,left
TlqKhcc4YeE,RXUV35Xgw-k,left
XtpoOdcYCYU,3t_HUglUPLw,right
psO6_rNKP6g,8RMhTQjs3Y0,right
t4KvXsglvMg,ggjT5_JE-DE,left
1pnhndCleT0,W6SneSxQkRQ,right
Jkcg_WzT0DU,Am4-xrQWF0A,right
LLaKkC5U9Po,0MD6Cx0qzRA,right
X1hz0RKKzpQ,u2-od4n5Xl0,left
5hgpAdPDLtc,hI6D4bynjW4,right
koP1y1FJiXI,2xx_VyPEUsU,right
fPmWfHy97OU,WPRGV3YN31c,left
WPPjZrGHRp4,Z2cpqRpiTqk,right
GmCjecDvOm4,nlF3WxfeoSM,right
Z2cpqRpiTqk,WPPjZrGHRp4,right
MC3mJdfWK70,WPPjZrGHRp4,right
wDx28Y2RcCI,6hIs3xFvalI,right
MC3mJdfWK70,FgIUryRxGM4,left
nzkP6rBd9QY,1qUdvvTwIg0,right
LLaKkC5U9Po,ggjT5_JE-DE,left
6utE5APd4wA,6hIs3xFvalI,right
XIPhUZZBtsc,FMhrCoyeRVI,right
hI6D4bynjW4,uvOandCCRFg,right
Z_hwMtG2xCs,C8IJnUM0yQo,right
LLaKkC5U9Po,tG6CujNS6J0,right
ar0G-EcJDnw,XIPhUZZBtsc,left
tG6CujNS6J0,Z2cpqRpiTqk,left
tPYAeeyW-yA,m58Bp6PfXss,right
6utE5APd4wA,6hIs3xFvalI,right
X1hz0RKKzpQ,Z2cpqRpiTqk,left
